search_result_number,document_category,included_in_merits_denominator,final_outcome,dismissal_reason_alleged,serious_misconduct_alleged,era_confirmed_conduct,era_confirmed_serious_misconduct,dismissal_substantively_justified,dismissal_procedurally_justified,contributory_conduct_found_s124,contribution_percentage,remedies_awarded,supporting_quote_or_paragraph,duplicate_of,exclusion_reason,confidence,manual_review_status,manual_review_notes,second_review_required,second_review_status,second_review_notes
31,included_merits,yes,employer_win,"Conduct involving attempted removal of a customer’s bobcat, treated as serious misconduct.",yes,yes,yes,yes,yes,unclear,,none on the dismissal grievance,"[54] The Applicant was a charge hand with several years experience of working for the Respondent, and who was the most senior employee on the job. Even on the 14 Applicant’s own evidence, the actions of assisting in moving the bobcat and placing it on a ute, when another person was talking about doing it up and using it for personal gain, were not the reasonable actions of an employee who had been entrusted with overseeing a crew carrying out work on a customer’s site for several weeks. In the light of those actions, and the evidence collected by the Respondent, I conclude that Mr Caldwell’s decision that the Applicant had committed serious misconduct was reasonable in all the circumstances. I am also satisfied that the requirements of s103A (3) were satisfied and that summary dismissal was justified.",,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",yes,reviewed,"Re-read the decisive operative findings/orders because the row involved alleged serious misconduct, contribution, or provisional relief."
32,included_merits,yes,employer_win,"Conduct involving attempted removal of a customer’s bobcat, treated as serious misconduct.",yes,yes,yes,yes,yes,unclear,,none on the dismissal grievance,"[53] The Applicant was an experienced linesman who, whilst not the most senior employee on the job, still regularly worked on the properties of the Respondent’s customers on his own or with a more junior employee. The actions of assisting in the moving of the bobcat and placing it on a ute when another person was talking about doing it up and using it for personal gain, whether that person was a contractor or another employee, were not the reasonable actions of an employee who needed to be entrusted with carrying out work on a customer’s site without supervision. In the light of those actions, and the evidence collected by the Respondent, I conclude that Mr Caldwell’s decision that the Applicant had committed serious misconduct was reasonable in all the circumstances. I am also satisfied that the requirements of s103A (3) were satisfied, and that summary dismissal was justified.",,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",yes,reviewed,"Re-read the decisive operative findings/orders because the row involved alleged serious misconduct, contribution, or provisional relief."
33,included_merits,yes,employer_win,"Threatening comments about guns/weapons in aviation workplace, treated as serious misconduct.",yes,yes,yes,yes,yes,unclear,,none on the dismissal grievance,"[54] Air NZ was therefore entitled to conclude that Mr Clarke’s loss of self-control was such that it could not trust that he might repeat such conduct. This is particularly serious misconduct in the security conscious environment of the aviation industry. Such findings were what a fair and reasonable employer would make, whether or not Mr Clarke had, in the second and most serious, threatened to shoot others, or just himself. It therefore follows that Mr Clarke’s dismissal was justifiable. Costs",,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",yes,reviewed,"Re-read the decisive operative findings/orders because the row involved alleged serious misconduct, contribution, or provisional relief."
34,included_merits,yes,employee_win,"Restructure dismissal; procedure unfair, with employee conduct destroying trust and confidence.",no,not_applicable,not_alleged,yes,no,yes,100%,"n and Children is ordered to pay to Ms Ball the sum of $5,000.00. Costs: Costs are reserved. The parties are invited to resolve the matter of costs if they can, taking into account the daily tariff approach of the Authority, the outcome reached and that the investigation meeting was completed within one day. 9 The time for feedback was subsequently extended. 10 Section 103A of the Employment Relations Act 2000. 19 In the event a resolution cannot be reached, the applicant has 28 days from the date of this determination to file and serve submissions with the Authority. The respondent has a further 14 days to file and serve submissions. K J Anderson Member of the Employment Relations Authority","[38] Indeed, while I have found that Ms Ball was unjustifiably dismissed because the Trust failed to follow the basic principles of justice and fairness prior to making the decision to terminate her employment; had that failure not been present, I would have, most probably, upheld her dismissal on the grounds that the overall conduct of Ms Ball deeply impaired or was destructive of the basic trust and confidence that is an essential of the employment relationship.6 This is particularly so given that there was no credible evidence to collaborate or support the serious allegations against Mr Irons. 6 Northern Distribution Union v BP Oil Ltd [1992] 3 ERNZ 483 17 The claim of unjustified disadvantage",,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",yes,reviewed,"Re-read the decisive operative findings/orders because the row involved alleged serious misconduct, contribution, or provisional relief."
35,included_merits,yes,employer_win,"Improper conduct toward a manager in front of subordinates, treated as serious misconduct.",yes,yes,yes,yes,yes,unclear,,none on the dismissal grievance,[113] For the above reasons I determine that Mr Allen was not unjustifiably dismissed from his employment with C3. Costs,,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",yes,reviewed,"Re-read the decisive operative findings/orders because the row involved alleged serious misconduct, contribution, or provisional relief."
36,included_merits,yes,employee_win,Genuine redundancy implemented through an unfair process.,no,not_applicable,not_alleged,yes,no,no,,"s124 of the Act in this case as the compensation is awarded due only to shortcomings in how ECL implemented its decision to which Mr Cornish did not contribute in any blameworthy manner. Costs || [32] If the parties cannot resolve costs themselves, the Authority is likely to set costs on its usual tariff basis. For a relatively straightforward investigation meeting of the type which occurred here and lasting two-and-a-half hours, the likely award of costs is $1000. That amount would be subject to the parties’ submissions about any factors requiring an upward or downward adjustment of the tariff.4 Robin Arthur Member of the Employment Relations Authority 4 PBO Ltd v Da Cruz [2005] 1 ERNZ 808.","[27] Instead his work finished abruptly that day in a way, I find, was not what a fair and reasonable employer would have done in all the circumstances at the time. Remedies",,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",no,not_required,
37,included_merits,yes,employer_win,Drug/alcohol-related safety breach and prior warning leading to summary dismissal.,yes,yes,yes,yes,yes,unclear,,none on the dismissal grievance,"[31] I find that a fair and reasonable employer relying on a testing regime provided by an agency such as ESR, which gave a result that was not disputed by Mr Hagger in any event, could at first sight regard the 3 August test as providing proof that serious misconduct had occurred. A final conclusion about that was not reached however, until after Mr Hagger had been given a full opportunity to explain why THC Acid had been present in his body at the level tested.",,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",yes,reviewed,"Re-read the decisive operative findings/orders because the row involved alleged serious misconduct, contribution, or provisional relief."
38,included_merits,yes,employee_win,Employer told employee not to return without a fair disciplinary investigation.,no,not_applicable,not_alleged,no,no,no,,"ld scrutinise and look at the work place records for some improvement, because the wage and time records shown to me are inadequate and not in accordance with legal requirements. Orders of the Authority || [45] I order Karl-Heinz Reipen to pay Jamie Melgarejo Amian/Amien: a. $2,068.68 unpaid wages; and b. $3,015.05 holiday pay; and c. $172.57 interest at 5.0% per annum for the arrears ((Judicature Prescribed Rate of Interest) Order 2011) (10 February 2010 to 11 October 2011);and d. $251.53 interest at 5.0% for the holiday pay ((Judicature Prescribed Rate of Interest) Order 2011);and e. $13,749.97 lost wages due to the dismissal; and f. $10,000 compensation under s 123 (1) (c) (i) of the Act.",[38] Mr Reipen’s action was unjustified. Thus Mr Melgarejo has a personal grievance. Arrears of wages for January and February 2010,,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",no,not_required,
39,included_merits,yes,employer_win,Physical mistreatment/slapping of a patient and related disciplinary dismissal.,yes,unclear,unclear,yes,yes,unclear,,none on the dismissal grievance,"[54] It is here I note that in the context of a “could“ test (when, prior to the Acts 2004 amendments, it was previously in vogue) one instance of assault of a psychiatric patient could be considered a matter … of the utmost gravity which would inevitably have major consequences. Even where no assault was found to have occurred, an instance where a psychiatric nurse crossed the line between acceptable and unacceptable behaviour was found to contribute significantly (40%) to the situation in which he found himself (refer Timu v Waitemata District Health Board [2007] ERNZ 419). In other words I conclude that the slap alone could have justified a decision to dismiss.",,,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",yes,reviewed,"Re-read the decisive operative findings/orders because the row involved alleged serious misconduct, contribution, or provisional relief."
40,excluded_costs_follow_up,no,excluded,,,,,,,,,,"[7] Overall CPC is ordered to contribute to Mr Dunlop’s costs in the sum of $2,500, plus the Authority’s filing fee of $71.56. R A Monaghan Member of the Employment Relations Authority",,Costs-only follow-up; underlying merits determination is not re-counted.,high,reviewed,"Read the determination dossier operative findings, conclusion and orders for this row; classification is based on the cited operative passage, not the automated outcome hint.",no,not_required,
